folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0101103705,1,01,2,4,1, ,2, , , , , , , , ,6,2,2,0,0, , ,0, , ,2,2,0, ,15000,2, , , , , , , , ,4800,06, , ,2, , , , , , , , , ,2,4,0,2600,0,5210,0,639.34,0,1281.14,0,640.32
0101193302,1,01,2,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,3000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,0,60,0,7340,0,14.67,0,1795.1,0,1778.47
0101193302,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,57600,400,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,36000,0,0,24480,8804.34,0,0,5986.95,2817.39,0
0101218701,1,01,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , ,1500,07, , ,2, , , , , , , , , ,2,4,0,4200,0,14000,0,1032.78,0,3442.62,0,2407.86
0101273006,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,15000, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,5500,0,0,11270,1345.1,0,0,2756.24,0,1408.69
0102002619,1,01,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,3000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,36000,0,0,23050,8852.45,0,0,5668.03,3183.93,0
0102174818,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , ,6480,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,35100,2700,0,23160,8631.14,663.93,0,5695.08,3599.99,0
0102174916,1,02,1,5,1,2,2, , , , , , , , ,5,2,2,0,0, , ,2,2,0,0, , ,472500,30000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,35000,17500,87500,370000,8559.78,4279.89,21399.45,90489.13,0,56248.04
0102192720,1,02,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , ,15000, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,47500,103,0,37300,11680.32,25.32,0,9172.13,2531.8,0
0102192720,1,02,1,5,1,2,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , ,13000,48000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,577000,0,0,517600,141885.24,0,0,127278.68,14606.55,0
0102199408,1,01,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,30000,18100,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,22800,900,0,36000,5576.08,220.1,0,8804.34,0,3008.15
0102282501,1,01,2,5,1,2,2, , , , , , , , ,2,1,1,0,0, , ,1,1,0,0, , , ,12000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,4000,0,0,12800,978.26,0,0,3130.43,0,2151.19
0102282504,1,01,1,4,1, ,2, , , , , , , , ,7,0, , , , , , , , , , , , ,300000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,0,800,0,49500,0,195.65,0,12105.97,0,11909.34
0102282504,1,01,1,5,1,1,2, , , , , , , , ,2,0, , , , , , , , , , , ,90000,6000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,124858,12342,0,34500,30535.92,3018.42,0,8437.49,25115.86,0
0102327005,1,01,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,25040,0,0,0,6123.91,0,6121.95
0102327005,1,01,1,5,1,2,2, , , , , , , , ,1,3,3,0,0, , ,3,3,0,0, , ,120000,70000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,154020,7000,0,123000,37667.93,1711.95,0,30081.52,9297.39,0
0102331209,1,01,2,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,3000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
0102331209,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , ,14000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
0102331519,1,01,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,9000,2, , , , , , , , ,5000,06, , ,2, , , , , , , , , ,2,4,0,0,0,1850,0,0,0,452.44,0,451.95
0102331604,1,01,1,4,1, ,2, , , , , , , , ,7,0, , , , , , , , , , , , ,80000,2, , , , , , , , ,6700,08, , ,2, , , , , , , , , ,2,4,0,12000,0,21500,0,2950.81,0,5286.88,0,2334.09
0102331604,1,01,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,140000,35000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,20000,3000,0,31000,4918.03,737.7,0,7622.95,0,1965.24
0102331714,1,01,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,84000, ,2, , , , , , , , ,5000,04, , ,2, , , , , , , , , ,2,4,34000,0,0,47100,8360.65,0,0,11581.96,0,3219.34
0102331718,1,01,1,4,1, ,2, , , , , , , , ,6,2,2,0,0, , ,0, , ,2,2,0, , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,600,0,0,0,147.54,0,0,147.54,0
0102331718,1,01,1,5,1,1,2, , , , , , , , ,1,2,2,0,2,2,0,0, , ,0, , ,140000,40000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,30000,6720,7000,62600,7377.04,1652.45,1721.31,15393.44,0,4641.63
0102339419,1,01,1,5,1,1,2, , , , , , , , ,1,1,1,0,0, , ,1,1,0,0, , ,2700,1144,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,4080,0,3860,0,997.82,0,944.02,52.82,0
0102339419,1,02,2,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,8000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,1200,0,12000,0,293.47,0,2934.78,0,2641.3
0102339419,1,02,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,183000,11600,1, , , , , , , ,18000, , , , ,2, , , , , , , , , ,2,4,15000,0,0,28850,3668.47,0,0,7055.7,0,3386.73
0102339605,1,01,1,4,1, ,2, , , , , , , , ,1,1,0,1,0, , ,1,0,1,0, , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,19600,2800,0,14250,4819.67,688.52,0,3504.09,2003.6,0
0102339605,1,01,1,5,1,1,2, , , , , , , , ,1,0, , , , , , , , , , , ,314000,15000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,65250,12320,0,15000,16045.08,3029.5,0,3688.52,15385.57,0
0102339613,1,01,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,32000,2, , , , , , , , ,950,05, , ,2, , , , , , , , , ,2,4,0,0,0,16300,0,0,0,4008.19,0,4007.21
0102339613,1,01,1,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , ,45000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,0,0,0,64900,0,0,0,15959.01,0,15958.03
0102339814,1,01,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , ,200000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,116000,0,0,174000,28524.59,0,0,42786.88,0,14261.31
