folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,destino,cantidad,valestim
0101103705,1,01,2,4,01,098,1,2,200,2000
0101103705,1,01,2,4,01,098,1,1,100,2600
0101103705,1,01,2,4,01,098,1,6,100,2600
0101193302,1,01,2,5,02,241,0,6,2,2400
0101193302,1,01,2,4,01,141,1,2,3000,3000
0101193302,1,01,2,4,02,088,1,6,20,120
0101193302,1,01,2,4,02,088,1,1,10,60
0101218701,1,01,1,4,02,098,1,2,1100,1100
0101218701,1,01,1,4,01,140,1,1,250,1500
0101218701,1,01,1,4,02,098,1,1,100,2500
0101218701,1,01,1,4,03,088,1,1,100,200
0102174818,1,01,2,5,01,246,0,1,1,2700
0102174916,1,02,1,5,01,268,0,4,5,50000
0102174916,1,02,1,5,01,268,0,7,5,87500
0102174916,1,02,1,5,01,268,0,1,1,17500
0102192720,1,02,1,5,02,240,0,6,1,8000
0102192720,1,02,1,4,02,088,1,6,90,342
0102192720,1,02,1,4,02,088,1,1,27,103
0102192720,1,02,1,4,01,194,1,2,16000,8000
0102199408,1,01,1,5,05,279,0,1,30,900
0102282504,1,01,1,4,03,010,1,2,115900,231800
0102282504,1,01,1,5,03,284,0,1,2244,12342
0102282504,1,01,1,4,04,194,1,2,7000,28000
0102282504,1,01,1,4,02,026,1,2,4000,16000
0102282504,1,01,1,4,01,140,1,2,6800,27200
0102282504,1,01,1,4,01,140,1,1,200,800
0102327005,1,01,1,4,02,010,1,2,55000,55000
0102327005,1,01,1,4,01,141,1,2,6000,18000
0102327005,1,01,1,5,02,240,0,1,1,7000
0102331209,1,01,2,4,01,141,1,2,5000,5000
0102331604,1,01,1,5,02,241,0,1,2,3000
0102331604,1,01,1,4,02,194,1,2,20000,60000
0102331604,1,01,1,5,02,241,0,6,2,3000
0102331604,1,01,1,4,01,140,1,1,3000,12000
0102331718,1,01,1,5,04,284,0,5,1344,8064
0102331718,1,01,1,5,04,284,0,2,4704,28224
0102331718,1,01,1,5,04,284,0,1,672,6720
0102331718,1,01,1,5,02,240,0,7,1,7000
0102331718,1,01,1,4,02,098,1,1,20,600
0102331718,1,01,1,4,03,194,1,2,8000,8000
0102331718,1,01,1,4,01,140,1,2,5000,28000
0102339419,1,02,2,4,01,140,1,1,50,1200
0102339419,1,02,2,4,01,140,1,2,50,900
0102339419,1,02,2,4,02,194,1,2,4000,8000
0102339419,1,01,1,5,01,250,0,1,10,1500
0102339419,1,01,1,5,04,251,0,1,3,450
0102339419,1,01,1,5,03,279,0,1,63,1770
0102339419,1,01,1,5,02,262,0,1,6,360
0102339419,1,01,1,5,02,262,0,6,2,120
0102339605,1,01,1,5,06,284,0,1,1600,12000
0102339605,1,01,1,5,02,250,0,1,4,320
0102339605,1,01,1,4,01,140,1,2,800,2000
0102339605,1,01,1,4,02,194,1,2,7500,5000
0102339605,1,01,1,4,01,140,1,1,400,2800
0102339613,1,01,1,4,01,141,1,2,8000,24000
0102339814,1,01,1,4,02,141,1,2,16000,80000
0102339814,1,01,1,4,01,010,1,2,70000,84000
0160009814,1,01,2,4,01,098,1,1,50,2000
0160009908,1,01,1,5,02,240,0,1,1,8000
0160009908,1,01,1,4,02,194,1,2,6000,28000
0160015012,1,01,1,5,01,241,0,1,1,2300
0160027507,1,01,1,4,02,130,1,1,50,300
0160027507,1,01,1,4,02,130,1,6,100,600
0160027507,1,01,1,4,03,087,1,1,50,450
0160027507,1,01,1,4,01,039,1,1,50,750
0160027507,1,01,1,4,01,039,1,6,20,300
0160028021,1,02,1,4,04,141,1,2,7000,21000
0160028021,1,02,1,4,05,026,1,2,11144,22288
0160028021,1,02,1,4,02,130,1,6,90,270
0160028021,1,02,1,4,07,088,1,1,70,700
0160028021,1,02,1,4,02,130,1,1,54,162
0160028021,1,02,1,4,03,059,1,1,8,32
0160028021,1,02,1,4,01,098,1,1,300,4500
0160028021,1,02,1,4,07,088,1,6,30,300
0160028318,1,01,1,4,01,140,1,2,25,150
0160028318,1,01,1,4,02,088,1,1,13,15
0160028318,1,01,1,4,04,098,1,1,35,1050
0160028318,1,01,1,4,01,140,1,1,75,1125
0160028318,1,01,1,4,04,098,1,2,15,225
0160028402,1,01,1,4,05,194,1,2,1000,2500
0160028402,1,01,1,4,04,054,1,2,1238,14850
0160028402,1,01,1,4,04,054,1,1,13,150
0160028402,1,01,1,4,06,212,1,1,100,300
0160028402,1,01,1,4,03,141,1,2,40000,100000
0160028402,1,01,1,4,01,039,1,1,40,100
0160028402,1,01,1,4,02,098,1,6,900,13500
0160028402,1,01,1,4,01,039,1,2,13960,20940
0160028402,1,01,1,4,02,098,1,1,100,1500
0160036619,1,01,1,4,01,112,1,1,6,60
0160036619,1,01,1,4,01,112,1,6,30,300
0160036621,1,01,1,4,03,088,1,1,300,3300
0160036621,1,01,1,4,01,140,1,2,6000,15000
0160036621,1,01,1,5,03,284,0,2,8030,48180
0160036621,1,01,1,4,02,194,1,2,4000,20000
0160038323,1,01,2,5,01,241,0,1,3,6000
0160038323,1,01,2,5,01,241,0,6,2,4000
0160038323,1,01,2,4,01,141,1,2,15000,18000
0160038409,1,01,1,6,01,424,0,6,20,200
0160038409,1,01,1,6,02,473,0,1,10,200
0160038409,1,01,1,6,01,424,0,1,60,600
0160038803,1,01,2,5,01,250,0,1,1,40
0160038803,1,01,2,5,03,279,0,1,28,560
0160040524,1,01,1,4,01,112,1,1,100,1000
0160040524,1,01,1,4,01,112,1,6,400,4000
0160040715,1,01,1,4,01,112,1,6,600,3000
0160040715,1,01,1,4,01,112,1,1,100,500
0160040717,1,02,2,4,01,141,1,6,400,400
0160040717,1,02,2,4,01,141,1,2,7900,31600
0160064723,1,01,2,5,03,284,0,1,1095,6789
0160065414,1,01,2,5,02,240,0,7,1,6000
0160065919,1,01,2,5,02,246,0,1,1,2800
0160065919,1,01,2,5,01,275,0,7,2,1500
0160066724,1,02,1,5,02,279,0,1,61,1830
0160079911,1,01,1,5,03,284,0,6,2920,16352
0160079911,1,01,1,5,03,284,0,1,730,4088
0160079911,1,01,1,4,01,141,1,2,12000,10000
0160083620,1,02,1,4,03,098,1,1,20,500
0160083620,1,02,1,4,05,194,1,6,450,2250
0160083620,1,02,1,4,02,088,1,1,5,60
0160083620,1,02,1,4,02,088,1,6,5,60
0160083620,1,02,1,4,04,087,1,1,2,60
0160083624,1,02,1,6,01,424,0,1,24,480
0160083712,1,02,2,5,01,252,0,4,4,12500
0160085407,1,01,2,4,03,088,1,6,150,900
0160085407,1,01,2,4,03,088,1,1,150,900
0160085407,1,01,2,4,01,140,1,2,3000,15000
0160085411,1,01,1,4,01,141,1,2,8000,24000
0160085411,1,01,1,5,03,246,0,2,70,182000
0160085411,1,01,1,4,02,088,1,1,100,400
0160085411,1,01,1,4,02,088,1,6,400,1600
0160108418,1,01,2,5,01,241,0,1,2,5000
0160108609,1,01,1,5,03,284,0,7,600,3360
0160108609,1,01,1,5,03,284,0,6,360,2016
0160108609,1,01,1,5,03,284,0,1,50,250
0160108609,1,01,1,5,02,240,0,6,1,3000
0160108611,1,01,1,5,05,279,0,1,450,1350
0160108611,1,01,1,5,02,250,0,1,5,750
0160108611,1,01,1,5,01,251,0,6,1,500
0160108819,1,01,2,4,01,098,1,6,20,600
0160108819,1,01,2,4,02,194,1,6,500,1000
0160108819,1,01,2,4,01,098,1,1,40,1200
0160108819,1,01,2,4,01,098,1,2,25,500
0160108821,1,01,1,4,01,141,1,2,200000,150000
0160108821,1,01,1,5,04,284,0,1,365,2008
0160108821,1,01,1,5,04,284,0,6,730,4015
0160108901,1,02,1,5,04,263,0,1,6,300
0160108901,1,02,1,5,02,250,0,1,12,840
0160108901,1,02,1,5,01,246,0,1,2,6000
0160108901,1,02,1,5,05,279,0,1,33,990
0160108902,1,01,1,4,01,141,1,2,500000,500000
0160108902,1,01,1,5,04,284,0,1,2555,17119
0160108903,1,02,1,4,02,194,1,2,1000,5000
0160108903,1,02,1,5,04,284,0,1,360,2484
0160108905,1,01,2,5,04,284,0,1,730,5110
0160108905,1,01,2,4,01,141,1,2,50000,50000
0160122308,1,01,2,4,01,098,1,1,100,2000
0160122308,1,01,2,4,01,098,1,2,40,1200
0160122308,1,01,2,4,01,098,1,6,60,600
0160122308,1,01,2,4,02,140,1,1,250,1250
0160122308,1,01,2,4,02,140,1,2,50,250
0160122308,1,01,2,4,04,088,1,1,100,800
0160122308,1,01,2,4,03,087,1,1,20,160
0160122901,1,01,1,4,03,194,1,2,800,3200
0160122901,1,01,1,4,01,140,1,1,500,3000
0160122901,1,01,1,4,02,098,1,1,200,6000
0160122901,1,01,1,5,04,279,0,1,12,120
0160125802,1,01,2,4,03,194,1,6,300,1200
0160125805,1,08,1,5,01,241,0,6,1,2000
0160125805,1,08,1,5,01,241,0,7,6,12000
0160125805,1,08,1,4,01,098,1,2,300,6000
0160125805,1,08,1,4,03,194,1,2,1000,3500
0160125805,1,08,1,5,01,241,0,1,5,10000
0160125805,1,08,1,5,02,249,0,6,1,1000
0160125805,1,08,1,4,01,098,1,1,100,2000
0160125806,1,01,1,5,04,279,0,1,10,500
0160125806,1,01,1,5,02,250,0,6,4,1000
0160125806,1,01,1,5,01,251,0,6,3,1500
0160146613,1,01,2,5,01,268,0,7,1,7000
0160146613,1,01,2,5,02,284,0,6,10,50
0160146613,1,01,2,5,02,284,0,1,83,415
0160146613,1,01,2,5,01,268,0,3,1,6000
0160146614,1,02,1,5,01,250,0,6,2,300
0160146614,1,02,1,5,06,280,0,1,4,86
0160146614,1,02,1,5,04,279,0,1,6,225
0160146614,1,02,1,5,03,263,0,6,1,100
0160146614,1,02,1,5,03,263,0,1,4,400
0160146614,1,02,1,5,02,254,0,1,2,500
