folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0101103705,1,01,2,4,B00,5210
0101103705,1,01,2,4,B02,5000
0101103705,1,01,2,4,B11,210
0101193302,1,01,2,5,C09,200
0101193302,1,01,2,5,C08,7280
0101193302,1,01,2,4,B00,7340
0101193302,1,01,2,4,B02,3000
0101193302,1,01,2,4,B07,4000
0101193302,1,01,2,4,B20,340
0101193302,1,01,2,5,C00,24480
0101193302,1,01,2,5,C06,16800
0101193302,1,01,2,5,C10,200
0101218701,1,01,1,4,B10,4000
0101218701,1,01,1,4,B02,10000
0101218701,1,01,1,4,B00,14000
0101273006,1,01,2,5,C08,5700
0101273006,1,01,2,5,C07,5400
0101273006,1,01,2,5,C00,11270
0101273006,1,01,2,5,C10,170
0102002619,1,01,1,4,B10,1800
0102002619,1,01,1,4,B00,23050
0102002619,1,01,1,4,B06,3600
0102002619,1,01,1,4,B07,1000
0102002619,1,01,1,4,B02,16000
0102002619,1,01,1,4,B04,650
0102174818,1,01,2,5,C09,600
0102174818,1,01,2,5,C08,12960
0102174818,1,01,2,5,C00,23160
0102174818,1,01,2,5,C06,9600
0102174916,1,02,1,5,C08,72000
0102174916,1,02,1,5,C10,2000
0102174916,1,02,1,5,C13,240000
0102174916,1,02,1,5,C00,370000
0102174916,1,02,1,5,C04,20000
0102174916,1,02,1,5,C06,36000
0102192720,1,02,1,4,B00,37300
0102192720,1,02,1,4,B01,9000
0102192720,1,02,1,5,C18,300
0102192720,1,02,1,5,C13,3000
0102192720,1,02,1,4,B02,6000
0102192720,1,02,1,4,B07,3750
0102192720,1,02,1,4,B09,7500
0102192720,1,02,1,4,B10,3750
0102192720,1,02,1,4,B11,250
0102192720,1,02,1,4,B15,7050
0102192720,1,02,1,5,C00,517600
0102192720,1,02,1,5,C04,13600
0102192720,1,02,1,5,C06,22200
0102192720,1,02,1,5,C07,403000
0102192720,1,02,1,5,C08,50000
0102192720,1,02,1,5,C09,500
0102192720,1,02,1,5,C10,15000
0102192720,1,02,1,5,C11,10000
0102199408,1,01,1,5,C07,26000
0102199408,1,01,1,5,C00,36000
0102199408,1,01,1,5,C08,10000
0102282501,1,01,2,5,C07,8000
0102282501,1,01,2,5,C00,12800
0102282501,1,01,2,5,C08,4800
0102282504,1,01,1,4,B09,4500
0102282504,1,01,1,4,B10,5000
0102282504,1,01,1,4,B11,3000
0102282504,1,01,1,5,C08,19500
0102282504,1,01,1,5,C10,1000
0102282504,1,01,1,5,C19,14000
0102282504,1,01,1,4,B06,36000
0102282504,1,01,1,4,B05,1000
0102282504,1,01,1,4,B00,49500
0102282504,1,01,1,5,C00,34500
0102327005,1,01,1,4,B00,25040
0102327005,1,01,1,4,B09,23040
0102327005,1,01,1,4,B10,2000
0102327005,1,01,1,5,C09,3000
0102327005,1,01,1,5,C05,12000
0102327005,1,01,1,5,C06,12000
0102327005,1,01,1,5,C08,96000
0102327005,1,01,1,5,C00,123000
0102331519,1,01,1,4,B00,1850
0102331519,1,01,1,4,B02,600
0102331519,1,01,1,4,B07,1000
0102331519,1,01,1,4,B10,250
0102331604,1,01,1,5,C10,16000
0102331604,1,01,1,5,C08,15000
0102331604,1,01,1,5,C00,31000
0102331604,1,01,1,4,B11,500
0102331604,1,01,1,4,B06,15000
0102331604,1,01,1,4,B01,6000
0102331604,1,01,1,4,B00,21500
0102331714,1,01,1,5,C08,45000
0102331714,1,01,1,5,C09,1750
0102331714,1,01,1,5,C10,350
0102331714,1,01,1,5,C00,47100
0102331718,1,01,1,5,C13,21600
0102331718,1,01,1,5,C18,500
