folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
0100017802,1,TB14,10000,10000,4918.03
0100044702,1,TB04,6276, ,18828
0100044702,1,TB01,200, ,600
0100044702,1,TB11,4599,0,2261.8
0100044702,1,TB05,1000, ,3000
0100061504,1,TB01,1000, ,2903.22
0100061504,1,TB02,588, ,1707.09
0100061504,1,TB03,912, ,2647.74
0100061505,1,TB11,2500,0,1222.82
0100061505,1,TB08,3128,0,3059.99
0100061505,1,TB01,500, ,1451.61
0100061505,1,TB04,8300, ,24096.77
0100095404,1,TB02,135, ,391.93
0100095404,1,TB03,200, ,580.64
0100116506,1,TB08,540,0,528.26
0100116506,1,TB02,86, ,249.67
0100203405,1,TB12,6200,2200,3032.6
0100203405,1,TB01,3000, ,8709.67
0100203405,1,TB02,1576, ,4575.48
0100203405,1,TB03,2040, ,5922.58
0100203405,1,TB08,15431,15431,15095.54
0100203405,1,TB10,2400,2400,2347.82
0100203406,1,TB03,392, ,1138.06
0100203406,1,TB08,1784,0,1745.21
0100203406,1,TB02,514, ,1492.25
0100221001,1,TB11,2850,0,1394.02
0100225802,1,TB09,289,289,282.71
0100225802,1,TB03,403, ,1209
0100225802,1,TB02,500, ,1500
0100225802,1,TB01,2100, ,6300
0100261501,1,TB02,858, ,2490.96
0100261501,1,TB03,821, ,2383.54
0100261503,1,TB12,1100,0,538.04
0100299902,1,TB03,430, ,1248.38
0100299902,1,TB01,3000, ,8709.67
0100299902,1,TB02,641, ,1860.96
0100299902,1,TB05,120, ,348.38
0100299902,1,TB10,300,180,293.47
0100329503,1,TB08,748,748,731.73
0100329503,1,TB10,1101,297,1077.06
0100329503,1,TB11,6500,6500,3179.34
0100329506,1,TB03,200, ,580.64
0100375404,1,TB04,4950, ,14370.96
0100375405,1,TB07,490, ,1422.58
0100375405,1,TB13,450,450,220.1
0100407204,1,TB07,543, ,1576.45
0100419703,1,TB10,40,40,39.13
0100419703,1,TB12,380,0,186.88
0100419703,1,TB09,70,0,68.47
0100419703,1,TB05,1000, ,3000
0100419703,1,TB03,115, ,345
0100419703,1,TB02,530, ,1590
0100425204,1,TR08,900,900,880.43
0100425204,1,TB08,4800,4800,4695.65
0100456904,1,TB11,6000,500,2934.78
0100471005,1,TB11,7000,0,3423.91
0100471005,1,TB12,3600,0,1760.86
0100498501,1,TB08,2000,0,1956.52
0100498505,1,TB07,1400, ,4064.51
0100498505,1,TB05,3000, ,8709.67
0100498506,1,TB02,128, ,371.61
